author;score;num_comments;p_score
193956;-81.5;93;-0.8763440860215054
471527;-76.0;94;-0.8085106382978723
235386;-8.5;94;-0.09042553191489362
448220;-48.0;94;-0.5106382978723404
475736;-84.5;95;-0.8894736842105263
407124;-29.5;95;-0.3105263157894737
304987;-53.5;96;-0.5572916666666666
85192;-87.0;96;-0.90625
452047;-17.0;97;-0.17525773195876287
451001;97.0;97;1.0
267137;61.0;97;0.6288659793814433
335140;-32.0;98;-0.32653061224489793
598079;2.0;98;0.02040816326530612
567762;-86.0;99;-0.8686868686868687
655729;1.0;102;0.00980392156862745
581122;-81.5;102;-0.7990196078431373
177938;-98.5;104;-0.9471153846153846
233162;36.5;104;0.35096153846153844
353111;-101.5;104;-0.9759615384615384
479601;-91.0;104;-0.875
208632;-31.0;105;-0.29523809523809524
299836;58.0;106;0.5471698113207547
198490;-77.5;108;-0.7175925925925926
470951;-16.5;109;-0.15137614678899083
527768;-31.0;109;-0.28440366972477066
107240;-71.0;109;-0.6513761467889908
596681;2.5;110;0.022727272727272728
568691;-95.5;111;-0.8603603603603603
604184;-108.5;112;-0.96875
435200;66.0;112;0.5892857142857143
388038;94.5;113;0.8362831858407079
130894;-44.5;114;-0.39035087719298245
544510;-72.5;116;-0.625
412655;-33.0;116;-0.28448275862068967
159575;19.5;117;0.16666666666666666
305897;-90.5;117;-0.7735042735042735
507622;79.0;119;0.6638655462184874
324417;-16.0;119;-0.13445378151260504
248187;-64.5;120;-0.5375
523388;-109.0;120;-0.9083333333333333
106270;-35.0;120;-0.2916666666666667
295027;-59.0;122;-0.48360655737704916
457162;-55.0;123;-0.44715447154471544
191429;-50.0;126;-0.3968253968253968
511641;-118.5;127;-0.9330708661417323
346786;88.5;127;0.6968503937007874
118934;-78.0;127;-0.6141732283464567
159202;105.0;128;0.8203125
162561;-125.0;128;-0.9765625
8604;32.5;131;0.2480916030534351
157869;-126.5;131;-0.9656488549618321
373725;-62.0;132;-0.4696969696969697
38628;-22.5;133;-0.16917293233082706
501805;-18.5;134;-0.13805970149253732
442140;-68.0;134;-0.5074626865671642
242788;-72.0;136;-0.5294117647058824
118127;118.5;137;0.864963503649635
657571;23.0;138;0.16666666666666666
51319;-132.0;141;-0.9361702127659575
277521;-67.0;143;-0.46853146853146854
563692;-88.0;143;-0.6153846153846154
141220;-68.5;145;-0.4724137931034483
104322;-65.0;145;-0.4482758620689655
13217;-97.5;148;-0.6587837837837838
55436;-107.5;148;-0.7263513513513513
343716;-91.0;149;-0.610738255033557
527153;-78.5;150;-0.5233333333333333
186310;-46.0;150;-0.30666666666666664
574914;-92.5;153;-0.6045751633986928
90209;-67.0;153;-0.43790849673202614
346615;-89.0;154;-0.577922077922078
80758;-38.5;156;-0.2467948717948718
357317;-25.0;164;-0.1524390243902439
413789;-91.5;164;-0.5579268292682927
138373;41.0;164;0.25
229428;127.0;168;0.7559523809523809
156292;-111.5;180;-0.6194444444444445
78960;-83.0;183;-0.453551912568306
45346;-26.5;186;-0.1424731182795699
662323;-174.5;187;-0.9331550802139037
615787;191.5;195;0.982051282051282
383011;-120.5;196;-0.6147959183673469
629148;-96.0;198;-0.48484848484848486
408615;-109.5;199;-0.550251256281407
511982;105.0;207;0.5072463768115942
161446;-129.5;223;-0.5807174887892377
441909;-192.5;233;-0.8261802575107297
293677;-34.0;234;-0.1452991452991453
539382;-57.0;238;-0.23949579831932774
420618;44.0;239;0.18410041841004185
403458;20.5;242;0.08471074380165289
627688;-68.5;247;-0.2773279352226721
110797;140.0;251;0.5577689243027888
485712;-200.5;254;-0.7893700787401575
183844;-91.0;261;-0.3486590038314176
17554;-185.5;263;-0.7053231939163498
531033;187.0;269;0.6951672862453532
353560;-267.0;270;-0.9888888888888889
459338;-73.5;274;-0.26824817518248173
522665;-31.0;284;-0.10915492957746478
368582;18.0;291;0.061855670103092786
13221;-292.0;292;-1.0
52185;-76.0;295;-0.2576271186440678
617556;24.0;313;0.07667731629392971
571226;29.0;320;0.090625
403872;285.5;320;0.8921875
33093;-289.0;330;-0.8757575757575757
661315;-189.0;345;-0.5478260869565217
378858;-339.0;355;-0.9549295774647887
573121;-323.0;361;-0.8947368421052632
434729;-365.0;371;-0.9838274932614556
638244;-125.0;383;-0.3263707571801567
309961;-322.0;390;-0.8256410256410256
350500;-360.0;392;-0.9183673469387755
561647;-82.5;396;-0.20833333333333334
577331;-175.0;409;-0.4278728606356968
232887;-111.5;421;-0.2648456057007126
9490;-401.5;426;-0.9424882629107981
276033;315.0;452;0.6969026548672567
351143;-432.0;463;-0.9330453563714903
473502;31.5;469;0.06716417910447761
332585;-1.0;469;-0.0021321961620469083
206106;-350.0;480;-0.7291666666666666
282979;-405.0;505;-0.801980198019802
371948;348.0;538;0.6468401486988847
301439;-138.5;547;-0.253199268738574
272450;-500.5;668;-0.749251497005988
614783;-209.5;676;-0.3099112426035503
405036;-625.5;694;-0.9012968299711815
484287;181.5;729;0.24897119341563786
139895;-706.5;763;-0.9259501965923984
612853;-312.5;769;-0.406371911573472
427311;-673.0;785;-0.8573248407643312
97609;-773.5;831;-0.9308062575210589
159530;-767.0;848;-0.9044811320754716
232119;-645.5;1084;-0.5954797047970479
374746;-1022.5;1309;-0.7811306340718105
242318;305.5;1474;0.20725915875169607
562552;-1776.0;2016;-0.8809523809523809
155881;2288.0;5251;0.43572652828032754
